Netbeheerder;Klanttype;Contracttype;Tarieftype;Tariefdetail;Tariefnotering;Prijs
FHV;ELEK_LS_DIGI;Afname;Tarieven voor het databeheer;Laagspanningnet;EUR/jaar;17.85
FHV;ELEK_LS_DIGI;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0244354
FHV;ELEK_LS_DIGI;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief exclusief nacht;EUR/kWh;0.0195483
FHV;ELEK_LS_DIGI;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0017081
FHV;ELEK_LS_DIGI;Afname;Maximumtarief;Maximumtarief;EUR/kWh;0.3276168
FHV;ELEK_LS_DIGI;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FHV;ELEK_LS_DIGI;Injectie;Tarief databeheer;Laagspanningnet;EUR/jaar;57.65
FHV;ELEK_LS_ANA;Afname;Tarieven voor netgebruik;Vaste term;EUR/jaar;140.11
FHV;ELEK_LS_ANA;Afname;Tarieven voor netgebruik;Vaste term;EUR/kWh;0.0613583
FHV;ELEK_LS_ANA;Afname;Tarieven voor het databeheer;Laagspanningnet;EUR/jaar;17.85
FHV;ELEK_LS_ANA;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0244354
FHV;ELEK_LS_ANA;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief exclusief nacht;EUR/kWh;0.0195483
FHV;ELEK_LS_ANA;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0017081
FHV;ELEK_LS_ANA;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FHV;ELEK_LS_ANA;Injectie;Tarief databeheer;Laagspanningnet;EUR/jaar;57.65
FHV;ELEK_LS_ANA_PRO;Afname;Tarieven voor netgebruik;Vaste term;EUR/jaar;140.11
FHV;ELEK_LS_ANA_PRO;Afname;Tarieven voor netgebruik;Vaste term;EUR/kWh;0.0613583
FHV;ELEK_LS_ANA_PRO;Afname;Tarieven voor het databeheer;Laagspanningnet;EUR/jaar;17.85
FHV;ELEK_LS_ANA_PRO;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0244354
FHV;ELEK_LS_ANA_PRO;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief exclusief nacht;EUR/kWh;0.0195483
FHV;ELEK_LS_ANA_PRO;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0017081
FHV;ELEK_LS_ANA_PRO;Afname;Aanvullend capaciteitstarief voor prosumenten met terugdraaiende teller;Aanvullend capaciteitstarief voor prosumenten met terugdraaiende teller;EUR/kW/jaar;59.11
FHV;ELEK_LS_ANA_PRO;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FHV;ELEK_LS_ANA_PRO;Injectie;Tarief databeheer;Laagspanningnet;EUR/jaar;57.65
FI;ELEK_HS1;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/maand;3.2898172
