Netbeheerder;Klanttype;Contracttype;Tariefonderdeel;Tariefnotering;Prijs
FMV;T4;Afname;Databeheer AMR;EUR/jaar;0
FMV;T4;Afname;Databeheer MMR;EUR/jaar;57.65
FMV;T4;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FMV;T4;Afname;Openbaredienstverplichting;EUR/kWh;0
FMV;T4;Afname;Pensioenen;EUR/kWh;0.0000174
FMV;T4;Afname;Heffingen;EUR/kWh;0.0000133
FMV;T5;Afname;Basistarief Vaste Term;EUR/jaar;0
FMV;T5;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003942
FMV;T5;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;2.0536214
FMV;T5;Afname;Databeheer AMR;EUR/jaar;57.65
FMV;T5;Afname;Databeheer MMR;EUR/jaar;0
FMV;T5;Afname;Databeheer Jaaropname;EUR/jaar;0
FMV;T5;Afname;Openbaredienstverplichting;EUR/kWh;0
FMV;T5;Afname;Pensioenen;EUR/kWh;0.0000174
FMV;T5;Afname;Heffingen;EUR/kWh;0.0000133
FMV;T6;Afname;Basistarief Vaste Term;EUR/jaar;0
FMV;T6;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003226
